Datetime,CH2,CH3,T1,T2,T3,T4,T5,T6,T7,T8,T9
04-Aug-2023 09:41:05,0.0228,0.0214,20.3433780670166,19.7411155700684,22.2603149414063,19.6519317626953,19.3583679199219,19.2245922088623,22.3228607177734,19.7411155700684,19.5478839874268
04-Aug-2023 09:41:10,0.0224,0.022,20.3433780670166,19.7485485076904,22.2235221862793,19.6370677947998,19.3435039520264,19.2283096313477,22.3486156463623,19.7485485076904,19.5924758911133
04-Aug-2023 09:41:15,0.0216,0.0215,20.3435134887695,19.7449474334717,22.2420330047607,19.6408996582031,19.3287563323975,19.2284240722656,22.3192977905273,19.7375144958496,19.659481048584
04-Aug-2023 09:41:20,0.011,0.0108,20.3436508178711,19.7413845062256,22.2716178894043,19.6410522460938,19.2583045959473,19.2285766601563,22.2900142669678,19.7302360534668,19.7785453796387
04-Aug-2023 09:41:25,0.00445,0.0044,20.3436508178711,19.7488174438477,22.2789764404297,19.6559162139893,19.2583045959473,19.232292175293,22.3010520935059,19.7413845062256,19.864013671875
04-Aug-2023 09:41:30,0.00201,0.00199,20.3436508178711,19.7525329589844,22.3047313690186,19.6633491516113,19.232292175293,19.2508735656738,22.3488826751709,19.7599639892578,19.953197479248
04-Aug-2023 09:41:35,0.00116,0.00114,20.3437900543213,19.7489318847656,22.275411605835,19.6486015319824,19.1766700744629,19.2435569763184,22.4078674316406,19.752649307251,19.9681777954102
04-Aug-2023 09:41:40,0.000799,0.000803,20.3437900543213,19.7489318847656,22.2606964111328,19.6448860168457,19.1172122955322,19.2324085235596,22.4336223602295,19.7489318847656,19.8269691467285
04-Aug-2023 09:41:45,0.00057,0.000569,20.3439273834229,19.7490882873535,22.2645282745361,19.6450424194336,19.2808723449707,19.2362823486328,22.3896236419678,19.7528038024902,19.6933498382568
04-Aug-2023 09:41:51,0.000456,0.000458,20.3439273834229,19.7528038024902,22.2682075500488,19.652473449707,19.2660083770752,19.2362823486328,22.3491535186768,19.7528038024902,19.6487579345703
04-Aug-2023 09:41:56,0.000384,0.000383,20.3439273834229,19.7490882873535,22.2682075500488,19.6599044799805,19.2660083770752,19.2362823486328,22.3638687133789,19.7602367401123,19.6413249969482
04-Aug-2023 09:42:01,0.000331,0.000327,20.3440647125244,19.7714996337891,22.3161506652832,19.6711654663086,19.2289619445801,19.2549743652344,22.3566226959229,19.7714996337891,19.6005630493164
04-Aug-2023 09:42:06,0.000288,0.000286,20.3440647125244,19.764066696167,22.2977542877197,19.6748809814453,19.3032817840576,19.2512588500977,22.3750190734863,19.7826461791992,19.6079940795898
04-Aug-2023 09:42:11,0.000256,0.000253,20.3440647125244,19.7603492736816,22.3124713897705,19.6674499511719,19.3032817840576,19.2475414276123,22.3639812469482,19.7714996337891,19.6191425323486
04-Aug-2023 09:42:16,0.000231,0.000229,20.344202041626,19.7679386138916,22.2868709564209,19.6676063537598,19.2997226715088,19.2551307678223,22.3641357421875,19.7790870666504,19.715913772583
04-Aug-2023 09:42:21,0.00021,0.000209,20.3443374633789,19.7643394470215,22.309061050415,19.6602897644043,19.2552452087402,19.2552452087402,22.3863277435303,19.7829189300537,19.7606220245361
